,Text,Label
30,"إني أستبعد جدا حدوث مواجهة بين يهود وحزب الشيطان ..
وعلي أسوأ الإحتمالات ..
إن حصل اشتباك ما .. بينهما ..
فلن... https://t.co/6PxUeCj28w",1
31,"حظي مثل حظ الفقير اليهودي؛
لا فاز بالجنه ولا عاش دنيهاه؛
.
.",1
32,طالمى والحوثيين يعظمون الله ويكبرونه ويهددون أمريكاوأسرائيل ويلعنون اليهود ويتمنون النصرللإسلام والمسلمين إذن... https://t.co/i7mTC0Roya,1
33,ي جماعه مش هتخسرو حاجه والله لو قولتو احنا مذاكرين ومخلصين المنهج بالعكس انتو هتكسبو احترامنا انما شغل اليهود ده هيخسركو كتير!!,1
34,لما صحبك اليهودى يجى يستحمى عندكو https://t.co/0FdcF80pyK,1
35,شكلهم مأخذين اطباع اليهود ، اتوقع ذولا انصار حماس https://t.co/RL3eiwvLI5,1
36,أميركا، جرائم الكراهية فيها ارتفعت عام 2016 حسب FBI في تقريرها السنوي: حيث بلغ عددها 6121 بزيادة 5% مقارنة بـ2015.… https://t.co/fO9k6g1kaC,0
37,أعجبني فيديو @YouTube على https://t.co/Zar5yDpdrz حرق الجني اليهودي الذي سب رسول الله و,1
38,"#السبت_كلنا_ضد_الهلال
جمهور الرخوم بنفسهم شجعوا اولسان قدام هيلالهم
ويقولو انتو مسيار!
انا حر اشجع الي ابي
بس اشجع… https://t.co/NGCSdjCAhD",1
39,للقدس واهله محبة لن يتغير بسوء معاملة اوتطاول من افراد فاهل القدس فيهم نماذج فخرلنا كالذي اغراه اليهود وسجنوا اولاده لببيع بيته ولم يستطيعوا,0
40,ولن ترضى عنك اليهود ولا النصارى حتى تتبع ملتهم* قل أن هدى الله هو الهدى* ولئن اتبعت اهواءهم بعد الذي جاءك من العلم… https://t.co/aEiApIOfup,0
41,"J'aime une vidéo @YouTube : ""فرحة يهود مغاربة أمريكا يدخلون المغرب لأول مرة"" à l'adresse",0
42,"وكان حقا علينا نصر المؤمنين
الله أكبر
الموت لأمريكا
الموت لإسرائيل
اللعنة على اليهود
النصر للإسلام",1
43,"عبدالله الشريف : العدو هو اليهودي مش قطر #قطر_قروب 
@AbdullahElshrif 
 https://t.co/LCZW84PdZD",1
44,"بل يزيدون 
نحن في العراق نعرفهم اكثر وكان عندنا يهود تم تهجيرهم
العجمي المجوسي الرافضي اقذر واخبث من اليهودي
هذا من… https://t.co/pTv3g0LQCb",1
45,كيف بدك الله يوفقك وبارولو اساسي ?? .. لا يفلح منتخب وسطه بارولو وجناحه كاندريفا .. لعنة الله على اليهود,1
46,اثرنا يهود https://t.co/sOEFg244B5,1
47,"الزلازل من عند ربنا 
ومش مقياس هل هدا دليل على صلاح اليهود بما انه فش زلازل بفلسطين؟ https://t.co/uEg3wgFOiG",1
48,اعتبرهم يهود هههههههههه https://t.co/F7KMKxmEP8,1
49,ومن زعم أن اليهود على حق ، أو النصارى على حق ، سواء كان منهم أو من غيرهم فهو مكذب لكتاب الله تعالى وسنة رسوله محمد… https://t.co/7TZLM4LL4W,1
50,"لمن يتذكر منكم، كنت في العام الماضي قد كتبت أن المسلمين باتوا ""يهود القرن الحادي والعشرين"" من ناحية إلقاء اللوم... https://t.co/KUd6Hqji2q",1
51,الأمير تشارلز: هجرة اليهود لفلسطين سبب مشاكل الشرق الأوسط https://t.co/EBOUQTuKGF,1
52,مصطفى معزوزي عيب عليكم يا لي غنيتو باب الواد دعارة !! انتوما متخلفين يهود:,1
53,"قالو بان اصحاب ذمار 
يرفعون لافتات مكتوب
عليها لاداعي لقصف ذمار
لانه لايوجدعندنا
شيعة ولا سنة
كلنا يهوﺩ
ههههههههههههه
😂😂😂😁😁",1
54,الشعب اليمني ينحني امامه العالم اجمع لأنه وقف بوجه اعتى عدوان بالكره الارضيه انه اخس من اليهود https://t.co/xo8B6utRW6,1
55,"أهل السنة في #إيران لهم المشانق و اليهود لهم المعابد!
هل تعلمون أن العاصمة طهران هي العاصمة الوحيدة في العالم لا يو… https://t.co/uB60mox9FI",1
56,"واحد يقول جاني إتصال من خالي وقت الأذان وأنا أكلمه ، 
قالت أمي: أصحابك هذولا يهود ما يصلون؟ 
قلت: هذا أخوك !

قالت:… https://t.co/7xwMVl306a",1
57,كلنا اولاد ادم مسلمين مسيحين يهود صهاينه بس لم نعد نحترم الانسانيه,0
58,"قصص مظلمة غير مكتملة لحياة يهود الحسيديم في أمريكا
 https://t.co/RYS9RcT2kI",0
59,#سيذكر _ التاريخ بانه كان هناك مراهق واستولى على الحكم وحاصر قطر ومنع القطرين من فرضتي العمره والحج في أفضل شهور ال… https://t.co/UKOv0GnG0k,1
60,"كل من هومتصل يعلن براءته من اعداءالله✊🏻

      *اللَّه أكـبر     
*الـموت لامريكـا
*الـموت لاسرائـيل
*اللـعـنـه على الـيهود
*الــنصر للاسلام",1
61,بعدهذه المسيره ماعمل لكم العالم اوامم اليهود ولوكان هذا الجمع خرج لمناشدة الله ايهما احسن https://t.co/PrNyZFAVXJ,1
62,مفتي السعودية حماس إرهابية وقتال اليهود حرام شرعا، ووزير صهيوني: والله عنا إستحوا يفتوا مثلك، يعيشك… https://t.co/N1e25LZmW5,1
63,من العنوان تعرف الهدف يريد تسليط الضوء على معاهدات النبي مع اليهود لأسقاطها على واقع بن سلمان ولتبرير تطبيع بن سلما… https://t.co/oHRtWh2a45,0
64,"آثار من٧٠٠٠عام في حرة خيبر سيطالب بها اليهود.
قانون جاستا من صوب وأرث يهود المدينة من صوب..وايفانكا من صوب. ووو الخ… https://t.co/s53Vc1zkAi",0
65,"لماذا انت ك ملحد لا تنتقد إلا الاسلام ؟ لماذا لا تنتقد المسيحية أو اليهودية ..
لأن الدين عند الله الإسلام",0
66,"الأجنبية: إذا وصفت خطيبها : هو جميل جداً و لطيف

العربية :راتبه حلو و أمه ميته  والحمد لله ما عنده خوات
  
بذمتكم منو اليهوديه فيهم 😂😂",0
67,هذا ما يريد فعله الإرهاب الشيعي ومن ورائه إيران في الجزائر تابع تاريغ الإرهابي النصيري الشيعي بشار الكلب... https://t.co/ceb44pHZY6,1
68,🏴🕌🙏 *منظر ولائي مؤثر جداً.. الشيعة  يحيون الأربعين الحسيني بموكب مهيب في مقام رأس الإمام الحسين (ع) في القاهرة، متح… https://t.co/HdY0GSh31W,0
69,"#دولة_الضرورة_الخمينية_والحوثي
1- هل يمكن ان نفصل مشروع "" الخميني السياسي "" (ولاية الفقيه)  عن "" الأساس العقدي "" ال… https://t.co/pghnKC0hmH",0
70,#كنا نعيب على #عوام #الشيعه ان عقولهم معطله وانهم يصدقون كل مايقال لهم من رموزهم من #المعممين و #المفكرين وغيرهم دو… https://t.co/UOtRO5OuQ3,0
71,حرام كل ريال تروح في الشيعي القذر هذا  #كاظم_الساهر_في_السعوديه,1
72,الجنايات تخلي سبيل مغرد بكفالة مالية متهم بالاساءة إلى المواطنين الشيعة وازدراء المذهب الشيعي وتحجز القضية للحكم.… https://t.co/hsmA1VjR6o,0
73,الجنايات تخلي سبيل مغرد بكفالة مالية متهم بالاساءة إلى المواطنين الشيعة وازدراء المذهب الشيعي وتحجز القضية للحكم https://t.co/WPrETsYyGh,0
74,الجنايات تخلي سبيل مغرد بكفالة مالية متهم بالاساءة إلى المواطنين الشيعة وازدراء المذهب الشيعي وتحجز القضية للحكم,0
75,"#العراق هو: زلزال العراق كان في مناطق السنة وإلا الشيعة؟
أنا: أنت لست إنسانًا..
#وضاعة_سائل
#تشوه_عقلي",0
76,"حسين مني كال بل سانه الرسول
اذن هذا النص يوجب طاعته
وماتروح الشيعه سعيا للجنان
الجنه تتعنه وتلوذ ابشيعته
 #زحفا_للحسين",1
77,يجب البحث والتحري عن الانفجار في المركز الأمني في عدن عاصمة الجنوب العربي وفحص كل لأثبات الدليل على منفذي العمليات… https://t.co/XdusI8t3Ej,1
78,هشتاق يعج بزبائل الشيعة  #اطردوا_وليد_البخاري,1
79,"سوال هل من مجيب عليه؟؟؟
لو حصل حرب في يوما  ما بين السعوديه وايران
سلطنة عمان بتقف مع من أو بتتبع سياسة النائ بالنف… https://t.co/AfOS2JOKap",0
80,"#كاظم_الساهر_في_السعوديه
يسبون الشيعه وجايبين شيعي يغني 
وش بقى ماظهر",1
81,"سابقا أفتي الحاي و الخميس
فتاوى بعد جواز الصلاة في مساجد الشيعة بل وابطالها!!
ونبهنا على بطلان فتواهما
عند الحنابلة… https://t.co/zjJDUAdnAT",1
82,حقيقة غائبة عن الجميع، اللبنانيين المقيمين بالسعودية ويمسكون مناصب عليا في الشركات السعودية وبرواتب خيالية هم مسلمو… https://t.co/qeCQg74SWs,1
83,"#جديد_مقاطع_الشيعة
عند الشيعة فإن التبرك بطين قبر الحسين رضي الله عنه فيه شفاء ليس موجودا في طين قبر النبي الكريم ع… https://t.co/ylX9hWSvxK",0
84,"وسائل إعلام إيرانية تعلن مقتل ""حبيب بدوي"" القيادي في الحرس الثوري الإيراني ورجل الدين الشيعي""محمود تقي بور""
الى جهن… https://t.co/3UdDeYtSii",1
85,الأزمة اكبر من لبنان،الأزمة مستقبل أمة تريد ايران الشيعية وحلفائها الشيعة في العالم العربي وبعض الخونة من السنة الق… https://t.co/AuXM9MrL6H,1
86,ماهو وجه الشبه بين الدولة الفاطمية والدولة الخمينية ....؟؟؟؟ كلاهما على المذهب الشيعي فشلت الاولى وسوف تفشل الثانية في نشر مذهبهم....!!!!,1
87,الأزمة اكبر من لبنان،الأزمة مستقبل أمة تريد ايران الشيعية وحلفائها الشيعة فيدالعالم العربي وبعض الخونة من السنة الق… https://t.co/Zccl1yX0oS,1
88,دعاء مولانا الصادق ( عليه السلام ): يادان غير متوان ، يا أرحم الراحمين ، اجعل لشيعتي من النار وقاء ولهم عندك رضى ،… https://t.co/zT7qOL39Za,0
89,"الشيعه عند اهل البيت
عن علي ( عليه السلام )ان خليلي رسول اللّه قال: يا علي إنك ستقدم على اللّه وشيعتك راضين مرضيين… https://t.co/ZvoWjVHygx",0
90,"أن الطرف الواحد الذي يمتلك السلاح الإيراني هم المكون الشيعي اللبناني أمل وحزباله 
ومعه أتباع نظام الحيوان البعث الع… https://t.co/uaaRt0iW5E",1
91,"الشيعه عند اهل البيت
ابى عبدالله عليه السلام قال : ان شيعة علي خمص البطون ذبل الشفاه من الذكر . عنه عليه السلام قال… https://t.co/Ri5zh5mjng",0
92,"كيف تردون على هذه الرسالة وصلتنا من مثقف سوري من حمص:

الأخوة العلويون في سوريا بمعظمهم يحبون الحياة، ويكرهون التطر… https://t.co/RiI3pB7URM",1
93,الحنايات تخلي سبيل مغرد بكفالة مالية متهم بالاساءة إلى المواطنين الشيعة وازدراء المذهب الشيعي وتحجز القضية للحكم,1
94,ابو بكر البغلدادي من اتباع الشيعة ووظيفته تدمير السنة,1
95,المرجع الديني الشيخ جواد الخالصي مظلومية الشيعة في الجنوب تساوي مظلومية,0
96,شاهد ماشفش حاجه: شوف بعينك مهزلة الشيعة وحمد ربك علي نعمة العقل و أنك سني https://t.co/8R711NArkV عبر @YouTube حسبي الله عليهم,1
97,في عام1982كانت الحرب تستهدف منظمة التحريرالفلسطينية السنية ونجحت الحرب في طردهم تركوا الفلسطينيون دون دعم كما ترك ا… https://t.co/Str0flnvnf,1
98,المسيحيين العرب اكثر عروبه ووطنيه من حسن شيطان لبنان واتباعه والحشد الشيعي الفارسي بالعراق والحوثي باليمن,1
99,عن أبي عبدالله ( عليه السلام ) قال : قال رسول الله ( صلى الله عليه وآله ) : من واسى الفقير من ماله وأنصف الناس من ن… https://t.co/Rc87QgVVPT,0
100,"ما هي #قصة جاسوس هولاكو في #بغداد ذلك الوزير #الشيعي ؟! وماذا فعل !!
 #شاهد :: https://t.co/QwUhY23pOi https://t.co/g6hDxlfh0V",0
101,تحت تأثير المسكر تصدر من المخمور تصرفات لا يقبلها عقل و تأباها الكرامة و لكنه لا يشعر بخفة عقله و خدش كرامته حتى يز… https://t.co/jTxsI5Ccme,1
102,كتلة المواطن: توجه الرافضين لقانون الأحوال الشخصية المقترح من التحالف الوطني الشيعي الحاكم، بأن ينظروا إلى قانون أم… https://t.co/eAh5VIk6z7,0
103,فيه اكثر من كذا قذاره. التعبد با المياه القذره. ومخلوطه اجلكم الله ببول الأئمه علي حسب كتبهم من شرب واغتسل ببول الا… https://t.co/gqetZwtJOG,1
104,وتؤلون ايات الله التي نزلت فالصحابه الذين سخرو من الصحابه الاخرين واصحاب الافك وتلبسونها الشيعه بالباطل قبحكم الله… https://t.co/adfZDM7KMH,1
105,"لا يكفرهم ويخرجهم من الملة إلا وهابي
هذا بالنسبة لأغلب الفرق الشيعية
كالإمامية والإثنا عشرية والزيدية مثلا وهم غالب… https://t.co/Ac2KPmZM6d",1
106,ثم تقومون بلعن وتكفير الشيعه الذين ان صح ماينسب لبعضهم من سب لصحابه وضحنا اسبابه وقلنا انهم اصحاب حق والا انتم معتد… https://t.co/35AYsMwgbf,1
107,لا يمكنك أن تُنصف «الشيعة»، لأن بعض مشايخ الأزهر يخرجونهم من الملة، ولا أن تشير إلى ضلوع «يزيد بن معاوية» فى مقتل... https://t.co/ZyN17kw8HY,1
108,كتلة المواطن: قانون الأحوال الشخصية المقترح من التحالف الوطني الشيعي الحاكم، جاء؛ لحماية المسلمين وتكثير نسلهم، وال… https://t.co/OgI6BBPPBq,0
109,ايش السبب الي يخلي الإرهابي يفجر نفسة في اصحاب السنة ولا يفجر في الشيعة,1
110,"كلاب الشيطان الشيعة ومن عاونهم لن يصلوا لمبتغاهم في #مصر 
وان حشد #السيسي كل الجيش والشرطة 
ولن يطول الانتظار ان شاء الله",1
111,"من حقي كمسلم ان أدافع عن ديني وعرضي بكل الوسائل 
وكل من يقترب منهم يقتل ولاحرج  #السيسي
#مصر بلد الاسلام السني فان… https://t.co/M1Iltjtfo9",1
112,"رئيس ديوان الوقف الشيعيّ يزور مقر الأمانة العامة للمزارات ويطلع على سير الأعمال فيها
زار معالي رئيس ديوان الوقف... https://t.co/YabrXqBH1L",0
113,"كلاب الشيطان الشيعة ونظام  #السيسي الخطط والاهداف واحدةتنفذا واحدة تلو الأخرى.
والمسلمون نيام في #مصر",1
114,"وفد من أوقاف المحافظات في ديوان الوقف الشيعي يزور دوائر الوقف في محافظة كركوك وطوزخورماتو  
زار معاون مدير عام... https://t.co/izt1mgg5LH",0
115,شيعيه تفضح الشيعه وتذكر ما يحدث في كربلاء https://t.co/6Xi7fAjFvC via @YouTube,1
116,شيعيه تفضح الشيعه وتذكر ما يحدث في كربلاء https://t.co/6Xi7fA24E4 via @YouTube,1
117,#كاظم_الساهر_في_السعودية   هل صحيح انه يغني للحشد الشعبي الشيعي العراقي المسول عن جراءم  قتل واغتصاب أهل السنه بالع… https://t.co/NASDkTq4gk,1
118,اول مابفكر احتفل بعيد جواوي مابيجيش في دماغي غير الناس بتوع الشيعه لما بيحتفلو في مولد النبي و يضربو نفسهم بالجزم😂😂😂😂✋,1
119,#وصال_هوسا : طالبة جامعية في نيجيريا غرر بها الشيعة حتى تشيعت ثم جروها لمسيرات الفتن والشغب دون علم والديها إلا بعد… https://t.co/Fg5SHAaMbJ,1
120,الله لايحييه نقصين مو هذا الذي راح يغني ويحمس الحشد الشيعي في العراق على قتل المسلمين  #كاظم_الساهر_في_السعوديه,1
121,أقوى مقطع عن علماء الشيعة https://t.co/EfD0I6L1hU via @YouTube,0
122,كاظم عضو بالحشد الشعبي الشيعي النجس #كاظم_الساهر_في_السعوديه,1
123,الاحتلال الايراني الداعشي التكفيري للعراق سيدمر الشيعة ايضا وليس السنة فقط- فايران الداعشية لاتفرق بين سني وشيعي فه… https://t.co/A2u1sBKyba,0
124,مزمار عبد السلام مجنن الشيعه كمان ....النسخة الكامله الاصليه...... قنبلة 2017 https://t.co/JtBiEQfow8,0
125,"🕋
#رسول_الله صلى الله عليه وآله:

من صلى علي ولم يصلي على آلي لم يجد ريح الجنة.

#وسائل_الشيعة

اللهم صل على محمد وأل محمد",0
126,حزب اللات بقيادة حسن زميرة مؤسسة ارهابية مجرمة تسعى لزعزعة الاستقرار في المنطقة وقتل المسلمين وتهجيرهم من أوطانهم و… https://t.co/ElGEYVuX08,1
127,"🌹🍃رجـال_اللہ...

🌹🍃ستحمل حمائمُ السلامِ رسائل النصر معطرةً بوحدة الشيـعة واهلهـاِ
​لنقف من جديد على بساط المجد والش… https://t.co/ahMO0zh35z",0
128,شاهد ماشفش حاجه: شوف بعينك مهزلة الشيعة وحمد ربك علي نعمة العقل و أنك سني https://t.co/9Ha9cntjHW via @YouTube,1
129,شاهد ماذا قال  هذا الشيعي من كينيا عن زيارة الاربعين1439 https://t.co/JhvUIbhv1O عبر @YouTube,0
130,"#الخوارج هم من يرتاحون ويحبون #الشيعه لماذا ؟
يبدو ان الخوارج اخبث من #الصفويين اللهم الهلكم لانهم اعدا الله ورسوله… https://t.co/nwDukABf5P",1
131,"#تميم_الشموخ
.
محيميد .. 
الخبيث 
الساقط
عندما كان يلف بالمدخن على قبر أبيه
هل كان أقرب لأهل السنه
ام لشيعة إيران
م… https://t.co/NLogjQ46mr",1
132,مقتدى وتخريب البيت الشيعي https://t.co/on8HCsN6Z5,1
133,أكبر عدو اﻻنسانية هم الروس فهم مجرمون قتلة ساعدوا طاغية الشام ومعهم الشيعة اعداء صحابة الرسول محمد ص يحاصرون الغوطة والشعب السوري,1
134,"فليعلم الجميع
إن الشيعة في جميع بلدان العالم إن. ولاء الشيعة لمذهبهم لأن سر وجودهم هو بقوة
مذهبهم ولذلك تجدهم هم الغالبون",0
135,"ماشاء الله ع غسان 😇
بعد ما كانت في هجمه عليه من السعوديه والتشكيك فيه قال احسن شي نمدح ف العقاب الجماعي اللي ضد لبن… https://t.co/tJ4x2sg440",1
136,"#كاظم_الساهر_في_السعوديه
عميد الفن الشيعي الحفله في اي حسنيه ؟",0
137,I liked a @YouTube video https://t.co/QIku9ZR7rk فضل الشيعة على الإسلام والمسلمين | يوسف علاونة,0
138,لايوجد أي قيمة للسنة في لبنان سوى قشرة حكم للضحك على عقول الناس. الشيخ الأسير سجن بإتفاق سني شيعي علوي ومشايخ الشيعة تقاتل علنا بسوريا.,1
139,"ديوان الوقف الشيعي يقيم ملتقى الطف الدولي التاسع بالتعاون مع الجامعة المستنصرية
 أقام ديوان الوقف الشيعي وبالتعاون.… https://t.co/BiZ1KXjNk4",0
140,"أعتقد ان الطبيعة الاباضية لنظام الحكم العماني, هو السبب فى منع تيارات الاسلام السياسي فى العمل لديهم 

حتى حزب الدع… https://t.co/XvwAvJh0ZB",0
141,لاحظ رعب وجنون الشيعة الذين دمَّروا العراق وسوريا وأكثروا فيها الفساد ليقينهم أن ما ينتظرهم مِن الدولة الإسلامية مس… https://t.co/0jK56hxos3,1
142,"(1) #ستشهاد_الرسول
#بسم_عائشة أو #بسم اليهودية
نحن الشيعة سمينا بهذا الاسم لأننا شايعنا اهل البيت واتبعناهم. ولم نع… https://t.co/rnCmx44A2l",0
143,الواحد متاثر باعتزال بوفون الدولي فشخ امال لو اعتزل خالص احنا ممكن نلطم زي الشيعة عادي؟,1
144,"نفس مطالبات الاخوان كان التيار اليساري و بعض الشيعة يطالبون فيها فى اوقات الخمسينات و الستينات

و كان الاخوان بتحال… https://t.co/ATSQWqI8sS",1
145,"#كاظم_الساهر_في_السعوديه
اهلاً بمن دعم الشيعه ضد السنه فالعراق ب٥ ملايين دولار.
.
لاغرابه في توالي آيات الله فالأرض… https://t.co/2OdR7O4UhS",1
146,"عن الإمام جعفر الصادق (عليه السلام) :
إعرفوا منازل شيعتنا بقدر ما يُحسنون من رواياتهم عنا. 
وسائل الشيعة ج 27 ص 149 ح 38.",0
147,"عندنا (الشيعة) الموسيقى مطلقا ليست بحرام، انما ترك تشخيصها على المكلف.. 

وضع الفقهاء ضوابط وموازين على اثرها يحدد… https://t.co/bMcM9fbsM8",0
148,3- عن أبي عبدالله (عليه السلام) قال : إذا كان الرجل معسرا ، يعمل بقدر ما يقوت به نفسه وأهله ، لا يطلب حراما فهو كال… https://t.co/h53pRohiWM,0
149,"#كاظم_الساهر_في_السعوديه
لعنة ألله علية وعلى من جابة 
الشيعي القذر",1
150,محدش يضحك عليكم ويقول لكم أن الشيعه مذهب .  المذاهب اربع شافعي مالكي حنفي حنبلي فقط الشيعه خوارج ماجوس لايؤمنو بأي.… https://t.co/v6Qgy95iNj,1
151,آن الأوان لإخراج إيران من منظمة التعاون الإسلامي، ومن أي منظومة دولية إسلامية. وآن الأوان لتفعيل قوله تعالى: (إنما… https://t.co/eKzUaQ2vp1,1
152,"الحشد الشيعي

كن وسيكون سببا رئيسا لتمزيق العراق
ودماره مع ماهو مدمر
فهل تتركون العراق يتدمر اكثر؟؟
تمزق العراق بسب… https://t.co/TqYZp9XgzY",1
153,"هل هذا هو #الإسلام يا شيعة #ابن_سبأ ؟؟

""ولقد أصبح هؤلاء الشيعة عارًا على بني آدم؛ يسخر منهم كل عاقل"".
المنار... https://t.co/Ye0TOCOrRk",1
154,"هل هذا هو #الإسلام يا شيعة #ابن_سبأ ؟؟

""ولقد أصبح هؤلاء الشيعة عارًا على بني آدم؛ يسخر منهم كل عاقل"".
المنار... https://t.co/8aBgLtbEzX",1
155,الشيعه مايبون حتى المسلمين يعتمرون https://t.co/VutUEIULSE,1
156,https://t.co/EiLdGfnDZwشاهدوا.  نتن ياهو كيف يخاف من الشيعة ويعترف. بتعاون الدول العربية معهم,1
157,إذا ابتعد الإنسان عن عبادة الله يهل عليه عبادة غيره وهذا ما أصر عليه المعممين وأكدوا عليه على عوام #الشيعة حتى يسيط… https://t.co/VnkaiQ5hGH,1
158,بن الحرام. هذا من ابواق داعش. يقول الشيعة مشركين ويجب أن يمنعوا من الحج. https://t.co/eBhkMrF1Lm,1
159,"شهقة أرض .. لا مو هزّة أرضيّة
لـ اتخافون كلها الشيعة محميّة
هاي أرض العراق اتودّع الزوّار
من بعد الزيارة الأربعينية… https://t.co/B3HmXLshJD",0
160,كثير من الشيعة العرب لما كانت سفينة ايران الطائفية تبحر في بحر من دماء العرب السنة كانوا يرفعون اشرعتها فرحين ويصفق… https://t.co/4vRJJiKA5X,1
161,"ماهذا ياهيئة الترفيه
ايعقل ان مسيروها لا يعلمون ما تعانيه دولتنا من #ايران #واذنابها في كل مكان؛ومن هنا يؤتى بهذا… https://t.co/mRzfo6WHcR",1
162,أعجبني فيديو @YouTube على https://t.co/NFLJSKb9xG فضل الشيعة على الإسلام والمسلمين |,0
163,الامير  الحسن بن طلال وحديث عن الفكر الشيعي# https://t.co/fyH0ILW5OQ,0
164,لان اغلب قنواتنا تبث الانحلال الخلقي والتهريج الخ ولا يبدع فيها الا الشيعي والمسيحي، أيضاً لديهم في قنواتهم هدف معي… https://t.co/Mfxyboq0Sp,0
