id,Text,Label
98,و الله عندى سؤال مهم جدا و مصيرى لحضرتك ممكن ؟ مش بتحس احيانا انك سبب رئيسى فيما تعرض له #الاخوان و مناصريهم ؟ اشكرك,1
99,"""صايعين the Egyptian onion البرادعي ووائل غنيم ونادر بكار على رأس الحضور في حفل تخرج باسم يوسف من المحفل الماسوني """,1
100, ده أنا لسه مخلص محفل التايم سكوير. نفسي اروح المحفل الماسوني بتاع هارفرد.سمعت ان أكله جامد!,1
101,سبحان الله!! امرك عجيب قوى يا حازم !!!!؟؟؟؟ تويتاتك عن باسم يوسف لسه موجوده ع فكره .. انت بتتلون كدا ازاى؟!!,1
102,على ما اعتقد ماسونى دى حاجه كويسه و بما ان نادر بكار حضر تبقة كمان حلال و حضور البرادعى يدل انها ضد العنف يبقى اكيد صايعين,2
103,مش معنى أنك تكون معارض لنظام الحكم في بلدك أنك تتصرف بشكل يبينك خائن ..يا ريت تنضف علاقاتك و أختار ناس فعلا تستحق باسم يوسف,1
104,علي راي جدتي - البيض الفاسد يتلم علي بعضه,1
105,هو انت مش واخد بالك آنهم مُستغلينك ولا عامل نفسك مش فاهم بجد لإني بحترمك بقولك كده,1
106,الضاكتور الماسوني باسم يوسف فشخ الواقع علي كل المواقع   ما  سو  ني  لقب مش سهل حد يخده ..!!  :),1
107,لدكتور باسم يوسف طبيب الحميات والربو والسكر بمستشفي ميت خاقان العام سابقا ومقدم البرامج الكوميدية حاليا. هههههههه لا تعليق,1
108,كده فاضلك واحد تركى وواحد قطرى علشان تكمل,1
109,يادكتور نادر بكار امتنع عن النشيد لأن الغنا حرام. وما يصحش تحملوه حق عرب بسبب معتقداته,1
110,لنتذكر: كانت الدعوة منذ ٢٠١٠ لمقاطعة الانتخابات البرلمانية والرئاسية والاستفتاءات وغيرها من صور الديمقراطية الشكلية وسيلة فعالة للتغيير.,1
111,وإيه دخل حضرتك يا أفندم بحاجة زي كده؟! ده شأن مصري داخلي!,1
112,ما كنتش عارف الصديق رامي انتقل للعمل في قسم الجوازات في مجمع التحرير علشان يمنح ويسحب وثائق الجنسية المصرية. عيب,1
113,يا ما فيه ناس من جنسيات اخرى اكثر مصرية وانتماء من بعض ممايحملون الجنسية المصرية,1
114,والحكم على انتماء الشخص مش محتاج لموظف فى الجوازات ده بيبقى حكم من خلال تصرفاته تجاه قضايا بلده,1
115,الكفروالايمان من حق ربنا كما جاء فى جميع الاديان اى حاجة تانية قابلة لحكم العقل اليشرى والشواهد المنطقية,1
116,كدة بقي كس امك بدون لحظة تردد واحدة,0
117,تصدق كنت بفكر اسيبك من غير بلوك تضحكني شوية بس فاكس تلاقي دولجي دي فلتة منك و انتا اصلا متضحكش ✋,2
118,متلون كاذب فقدت القدرة حتي علي الكذب,2
119,كذب ايه ؟؟,1
120,لا اقصد حضرتك واقصد البرادعي…,1
121,بابا الفاتيكان يدعو الكاثوليك والكنائس الي إيواء اللاجئين الفارين من الموت .هل سنسمع دعوات مماثلة من رجال الدين فى العالم الإسلامى ؟,1
122,انت بقيت بتتويت كل يوم يعتبر,1
123,احلامنا بقيت تويتة يا اسراء ؟؟ يغرد براحتة بس يراجع .,1
124,كله راح كله اتكسر,1
125,"""بسببك :p :p. ما ينفعش يزرع حلم التغيير في الشباب وفي كل المعارك يسيبنا """,1
126,يا حلم وتغيير يااااا مش فاكرة سمعت الكلام ده فين قبل كده,1
127,لا تنسى انك شاركت في ذبح و حرق من لجئوا الى المساجد يوم ارتكبتم مذبحة رابعة ..!,1
128,هو انتا معانا من نفس الكوكب يعني؟ حضرتك متعرفش انه قدم استقالته قبل الفض؟,1
129,وبعد الحرس والمنصه #البرادعي  اكبر مقلب اخدته هل هو فعلا صدق ان #السيسي حيخلع رئيس علشان يعمل ديموقراطية #مصر,1
130,ماكفاه يتدحبش يمنيا وخليجيا ودلوأتي قلب مصريا وعربيا مشكله إلي واخذ في نفسه مقلب وهو مش داري,2
131,حاسه ان اول شتيمه قبيحه هقولها في حياتي هتبقى حصري ليك يا  بردعه,2
132,مازلنا ندمر انفسنا فى العالم العربي تحت وهم إمكانية سحق الاخر.العالم متخوف منا ويستغل فرقتنا وضعفنا.مفتاح الحل هو ضمان حرية الانسان وكرامته.,1
133,كلامك جميل   لكن كيف قبلت ان تشارك بانقلاب عسكري ارهابي مدعوم من كلاب الخليج ضد رئيس شرعي منتخب؟؟؟  اللهم أفرج عن محمد #مرسي,2
134,رئيسك الشرعي نفسه في خطابة رجال من ذهب وكمان رئيسك وقف بالمرصاد ضد من يحاول النيل من طنطاوي وعنان,1
135,حاول استيعاب العسكر وارجاعهم للدولة والوطن فغدروه وطعنوه بالظهر وانقلبوا عليه ونظام حكمه الشرعي المنتخب كل من يقول غير ذلك منافق,1
136,هو أي معارض يبقي منافق هو اصلا ساعدهم كثيرا وبرر مذابحهم تقولي حاول ارجعاهم كفاية تبريرات واهية,1
137,الله يرحم قلادة النيل واول من شوة البرادعى بعم مبارك كلنوا كلاب ولجان الاخوان,2
138,ايه رأيك تعتذر بوضوح على تمردك وجبهة الخراب وانك كنت نائب لرئيس طرطور  وان مرسى رئيس شرعى مخطوف وتكون ايقونة تجمع كل  الثوا,2
139,حضرتك الاعتزار وحده مش كفايه لابد وإن كان صادقاً واشك فى ذالك أن يقوم بتدشين حمله برعايته فى أوربا لإسقاط الإنقلاب,1
140,ما أجملنا ونحن ننّظر عن الحرية والكرامة وما أسوأنا عندما نطبق اعذرني انت مثال على ذلك,1
141,طريقنا يبدأ من لا لقانون التظاهر.. #الامناء_اسقطوا_قانون_التظاهر #حريتهم_هى_حريتنا,1
142,إنْ سَألوكَ عَنْ العَدل في بلاد المُسلمينْ فَ قل لَهُمْ ان عُمَر قد ماتْ يَا بوب ,1
143,هل يمكن للعرب الاتفاق على خطة مشتركة لاستقبال  اللاجئيين السوريين -كما يفعل غيرنا- حتى تنتهى المذابح ام ان هذا خارج إطار الإخوة العربية؟,1
144,ولماذا استقبل الغرب السوريين الان ولم يُستقبل الفلسطنيين الان او فيما قبل؟ و هل هي خطة لتفريغ الارض.. ندعم الانسانية و لكن!,1
145,سؤالك مهم جدا ومحور مايدور باختصار,1
146,الميديا و الانسانية في صراع من اجل تفريغ الارض و تقليب ما تبقي من شعوب شبه مستقرة !,1
147,الاتفاق العربي مستحيل في ظل متآمرين على الشرعية أمثال محمد البرادعي الذي وقف مع انقلاب السيسي,2
148,ادام شايفه متآمر ما تحل عن سماه وتروح تقرا ميكي ولا أي مصلحه من مستوى اطلاعك,2
149,اوردوغان يقتل و يشرد الأكراد و لكن عندما وجدوا جثة الطفل السوري الكردي علي شواطئ تركيا هاج و ماج  وهاجم الكل !!!!!,1
150,العرب محتاجين يفهموا يعنى ايه انسانيه الاول,1
151,و الله عندك حق بس ممكن برضو تقولنا هتتلم امتي عن كواليس مذبحة رباعة لان ده حق الناس عليك كةنك وقتها كنت جزء من السلطة ؟,1
152,هتتكلم ** طبعا يعني انت شاطر يا محمد و مش محتاج اصححها بس برضو للتأكيد يعني,1
153,لا يابوب العرب مشغولين بحرب الأخوان أللي عوزين يسرقو منهم العروش بتعتهم اللي هم ورثنها من الاحتلال.ويدفعون عنها حتي بقتل شعوبهم ,1
154,مظاهرات حاشدة في أوروبا للتضامن مع اللاجئين من أهلنا الهاربين من القتل والقمع والفقر والوحشية . أين نحن العرب أصحاب المشكلة؟ عار,2
155,تقتل القتيل وتمشي في جنازته يامنافق,2
156,... محمد البرادعي رمز افتخر به ولكن الاغلب يجهلون مواقف هذا الرجل العظيم.,1
157,ياليت تنورنا ببعض المواقف العظيمة ،لأني فعلا لا اذكر له الا مواقف الخزي منذ حرب العراق ومرورا باقذر احداث في تاريخ مصر,2
158,ياعم الله يكرمك روح بجهلك علي فيسبوك بعيد عن تويتر,2
159,طيب مابنقول لكم نورونا عشان مانكون جهلة.. افيدونا باعمال الرجل الرائعة عشان نقارن ونشوف,1
160,تقرير البرادعي اثبت ان العراق مفيهاش أسلحة دمار شامل و انها مبتسعاش تصنع .. يبقي ازاي دمرها ؟!,1
161,حسب الحاجة ،،، ولم يصدر نفي واضح عنها الي انتهاء الحرب وتدمير كامل البنية الصناعية للعراق,1
162,قريره دقيق جدا بقوله لم اجد في العراق اسلحة دمار شامل  ولايستطيع ان يقول لايوجد اسلحة دمار شامل!,1
163,حرب العراق كانت قرار امريكيا وليس قرارا دوليا فتقرير البرادعي جعل غزو امريكي غير مشروع.,1
164, الناس دى  بتسعبط وعاملين مش عارفين ان سبب سحب شريعه الحرب من الأمم المتحدة تقرير البرادعى,2
165,"هل هناك من سيفهم يوما ان الإفراج عن الشباب المحبوس ظلما او بمقتضى ""قوانين"" جائرة هو خطوة حتمية لبدء حلحلة الاستقطاب البائس #حريتهم_هى_حريتنا",1
166,يادكتور النظام دا بيصنع نهايتة بإيدة #حريتهم_هى_حريتنا، انزل مصر يابوب,1
167, انا شايفه مفيش قايدة,1
168,هو بصراحه لو فعلا مفيش فايدة ، ف مفيش فايدة فينا احنا,1
169,طب نعمل ايه اذا كنت اصلا لما بتفتح لوقك و تفكر تناقش الصنفين سواء السيساويه و لا الاخوانجيه كانك بتكلم صخر,1
170,الصنفين دول في صراع تاريخي لا ذنب فيه للشباب اللي عايز يشوف تغيير حقيقي. علشان كده الصنفين بيخافوا من البرادعي.,1
171, التغير هيحصل هيحصل عاجلاً ام اجلاً,1
172,يا ريت بس التغيير الحقيقي ممكن يأخد شوية وقت. محتاجين صبر و نفس طويل.,1
173,بالله عليك تتوكس وماتعمل فيها بريئ وربنا كل العالم عارفة انك أحد الاضلع النجسة المشاركة في كل ده!  مش طالبة لطميات,2
174,خروف,2
175,"لن نصمت  لن ننسي  وربما  ربما نصالح!""",1
176,هل سنستمر فى تدمير أنفسنا في اليمن وليبيا والعراق وغيرها لصالح الاٍرهاب، قبل ان نكتشف بعد سنوات(سوريا) ان حل سياسى للعيش معا هو الحل الوحيد؟,1
177,"""محدش فاهم ولا عاوز يفهم.. اغلب حكامنا معتمدين علي الظلم والبطش بالشعب، وخصوصاً اي صوت معارض..!! #حريتهم_هي_حريتنا""",1
178,كل حكامنا يعرفون من أين تأُكل حقوق حريات الشعب بجعل كلمت امن الوطن والجيش وقل ماتشاء علي من تشاء,1
179,وهل الحل السياسي هيعيد اللي مات أو يرجع اللاجئين بلادهم دون تعرضهم لمضايقات، للأسف الوقت اتأخر لكل الدول المذكورة ..مستنين معجزة,1
180,مستنيين معجزة > مستنيين نونة #مقدرتش,1
181,والنبي يابوب ماتنسي الورد اللي مرمي في سجون مصر، اعمل اي حاجة عشان يطلعوا، أمامة عليك :(,2
182,هو مش كان معترض على الحل السياسى امبارح ؟ ولا انا فهمت غلط ؟؟؟,1
183, راجعي كلامه،  أكيد ﻷ,1
184,لا هو مش عايز حل سياسي في سوريا،، بس عايزه في الباقي .. او ده اللي انا فهمته,1
185,فهمتيه منين؟,1
186,التويت بتاعة سوريا اللي كانت من يومين تقريبا,1
187,لا يتضمن مؤشر شنغهاي لافضل ١٠٠ جامعة أية جامعة من العالم العربي بينما به جامعتين من اسرائيل: أولويات مختلة لا تدرك ان العلم ركيزة المستقبل,2
188,في المحروسة خاصة والعالم العربي عموما لاتوجد أولويات سوي تمكين الحكم وتثبيت كرسي الحاكم بالغراء؛ أما التعليم فرفاهية لايريدونها.,1
189,ما المحروسه مطلعاكوا دكاترة قد الدنيا أهه .. مالها المحروسه وماله التمكين ياعم ؟,1
190,داخل المحروسة رفضوا تعييني مدرس بالجامعة رغم استحقاقي لعدم وجود واسطة وخارجها أصبحت دكتور ذو إحترام دولي :),1
191,اكترية زمايلنا واكترية الناس كلها بتتعين ف الجامعة من غير واسطة..تعممش مشكلتك لو حقيقية ع البلد,1
192,اذكري لي إسم واحد فقط تم تعيينه مدرس م في كلية الطب بأي جامعة دون واسطة أو إبن أو قريب أستاذ.!!,1
193,والله اعرف واحد من أسره بسيطه جدا وهو حاليا أستاذ دكتور ف جامعة القاهره واسم معروف جدا ومش حاقوله,1
194,مش واحد يا أمل، ده معظم الناس ف الكليات بتتعين بلا واسطة، الواسطة هي اللي بتبقى حالات قليلة,1
195,عندك حق مستوى التعليم عندنا متدنى  خرج واحد زيك  لسه محتاج ابراهيم عيسى يمليه وبيدعم الارهاب ويهرب من المسئوليه تعليم فاشل زيك,2
196,هو انت عايش ف الاحلام يا برادعة؟ اما ل انت متخرج منيين من اسرائيل غير اللى بتشربه واترحم مرة على شهداء الارهاب,2
197,أي كلام في الهجايص هو البرادعي متخرج سنة كام قوليلي,2
198,هناك شيء مدمر في الفهم المتطرف للإسلام .الادانة ومعالجة الظواهر في غياب العدالة والفكر العقلاني والكرامة الانسانية لم ولن تكون حلا مستداما,1
199,ماديانة البرادعي ؟؟؟؟ أنا عارف ان اسمه محمد,1
200,أحاديثه تقول أنه بلا ديانه,1
201,لاتنس عندما طالب منى الشاذلي بمعبد بوذي صغنن ومحندق لإخوانه البوذيين,1
202,"""معبد بوذى صغير يا منى ايه المانع يا منى :)""",1
203,حمزاوي اللي كتبلك التويتة دي مش ابراهيم عيسى.. صح؟! الكلام المكلكع دا تبع حمزاوي.. سايب أكاونتك كدا ل أي حد يلعبلك فيه؟! إخص,2
204,"""باباك كان بيعذبك و بيلسعك بالشمعه وانت صغير غشان كدا كل كلامك عن كرامة وانسانية  في د نفسانين بيعالجو""",2
205,كان بيسلع بالسمعه في قرعته,2
206,هههههههههههههه يروح يتعالج بعقدة الاضطهاد اللي عنده دي ويرحمنا,2
207,بس يامحمد,1
208,"""بس يسطا برادعى لما تعوز تكتب تويتة تعالى قولى اسلوب سيمبل وجميل وبيجيب ريتويت برضو والله""",1
209,تعجز الكلمات عن وصف مأساة المنطقة. تصدي أمني علي المدي القصير. معالجة عقلانية وقيمية تنتشلنا من القاع هي الحل الوحيد. رحم الله كل روح بريئة,1
210,المعالجة القيمية العقلانية دي هي الحل أكيد، لكن حتتصرف مع جنون وإجرام الإرهاب ازاي بالظبط يا دكتور؟! نعمل ايه يعني؟!! ,1
211,"""البردعاوي ده لطيف خالص فعلا  عقلانية وقيمية ايه هو بيتكلم عن واحد متخانق مع مراته ؟؟""",1
212,اعتقد حضرتك تدعو لمؤتمر دولى للحوار للسلمي مع داعش والاخوان وبيت المقدس وبوكو حرام والقاعدة على مائدة المفاوضات !,1
213,الدكتور محمد البردعي ، نحن خُدِعْنا فيك ونرى أنه من الحكمة الأن أن تعتزل العمل السياسي والعام,1
214,و لو مصر كانت ضاعت زى جيرانها يا ترى كان الاعتزال كافى هل يستوى المواطن العادى مثل ما يسمى بالنخبه,1
215,لو سمحت يا بوب elaborate. يعني لما اخوان الدواعش يخطفوني أعالجهم عقلانياً قبل ما يذبحوني ولا بعد الذبح؟,1
216, بعد الدبح اوقع عشان الدماغ بتبقا مفصوله والكلام موزون,1
217,مش متأكدة أني قادرة علي مواكبة عقلانية البوب. لقد اصيبت عقلانيتي بوعكة,1
218,والله المستعان علي البوب,1
219,اى قاع تتحدث عنه يادكتور.. إن وجد فانت ومن دعموك شاركتم فى وجوده.. دع القرار لرجال لم ولن يهربوا من مسؤليتهم,2
220,"""#اليوم_السابع | #على_جمعة : قناة #الجزيرة ""نجسة"" وبوق لـ #إسرائيل""",2
221,كذبت يازنديق انت والسيسي الابواق لليهود لماذالاتتكلم عن مايفعله السيسي باهلنابغزه ياقذر,0
222,صح كلامك ياشيخ,1
223,لماذا لا يتم عرض المشائخ ورجال الدين وبصفه دوريه على لجنه طبيه نفسيه للتأكد من قواه العقليه وعدم تعاطيه المواد المخدرة,2
224,حقيقه مؤكده,1
225,هل يحق لرجل الدين ان يتناول أقراص الترامادول بصفه مستمره دون استشاره طبيه؟!!,2
226,انت راجل عسل,1
227,حياك الله ياشيخ,1
228,على جمعه يامعرص لايوجد انجس منك واللوم على كلاب اليوم السابع التى تستضيف أشكال قدرة مثلك ومثلهم,0
229,اعلام ـ قضاء ـ داخلية ـ جيش  انتم شعب وباقي فئات الشعب شعب اخر ليس له حق في هذه البلد,1
230,"""هههههههههه هذا الرجل ضلالي ومنافق وعبد درهم  ( تعس عبد الدرهم )""",2
231,اقرأ ف عدد #اليوم_السابع الصادر غدا:#الإخوان يخططون لحصار السفارات المصرية ليلة #الانتخابات,1
232,يا عم انت شارب أيه؟,2
233,عمليات انتحاريه يا بهائم,2
234, ابتدى الموال ونعيد ونبوظ واعادة وكلة الاخوان,1
235,اليوم السابع الامنجية وصناع الدعارة والمرتشين الشراميط. . الإخوان أشرف منكم يامعرصيين وليس لديهم قضية فساد أو إخلال بالشرف,0
236,على اساس ان سفارات مصر فى شارع ابو الفدا بلاش الكلام الساذج هى اوربا فيها تظاهر بدون تصريح ولا انتم بتكلموا ناس هبل,2
237,ابتدى الموال ونعيد ونبوظ واعادة وكلة الاخوان,1
238,ايييي عرفتو ازاي الاخوان اللي قاللكو,1
239,يا عم انت شارب أيه؟,2
240,هو فيه عسكر بيعمل انتخابات ؟! يا راجل كبر مخك,1
241,هبل ولاد كلب,0
242,"""#اليوم_السابع | بدء احتفالية أنصار #مبارك بـ #نصر_أكتوبر على أغانى ""اخترناه"" و""حلوة بلادى""""",1
243,منتهى التخلف.. يحتفلون بمن هدم مؤسسات الدولة على مدى 30 عام و حرب أكتوبر ملك لأبطال  و شهداء أبرار و ليس من أراد  يورث ابنه..,2
244,هى طابا رجعت على ايد مين وبعدين ال30 سنه ما كانوش كلهم سود خلينا منصفين اينعم فيه سلبيات بس مش كلها سلبيات,1
245,أشرب سلبيات لحد انهرده و بكره و عبد بكره ..,1
246,ومن السلبيات شبكات المحمول والطرق والفلا حين اللى بقو من اهل المدن والميه اللى ماكنتيش تحلمى تشربيها,1
247,كلامك هابط ..,2
248,انا اللى كلامى هابط طيب اسفين يا ام كلام سخن ملهلب والله العظيم انتى ولافاهمه حاجه بتغنى زى اللى بيغنو,2
249,30سنة أمان وصاحب الضربة الجوية أوفياء جدا أبناء مبارك,1
250, اغنية اخترناه بتعبر عن حب أبناء مبارك لزعمهم مبارك,1
251,يعشقوا الفاسد,2
252,تحيه للبطل الرئيس محمد حسنى مبارك,1
